"Year","EEZ","EZnm","EEZ.alt","Partgrp","Grp","Flag","Days","ALBc","BETc","YFTc"
2001,"SB","Solomon Islands","SB","Solomon Islands","FFA","TW",163,64.633,28.159,35.56
2001,"TO","Tonga","TO","Tonga","FFA","TO",2444.324,1077.571468,186.026364,250.965193
2001,"TV","Tuvalu","TV","Tuvalu","FFA","JP",109.353,22.047053,53.351066,40.070005
2001,"TV","Tuvalu","TV","Tuvalu","FFA","KR",548.14,86.24,230.852,174.801
2001,"TV","Tuvalu","TV","Tuvalu","FFA","TW",20,0,0.27,0.18
2001,"TW","Taiwan","TW","Taiwan","Other","TW",7027.5,416,1646,6371
2001,"VN","Vietnam","VN","Vietnam","Other","VN",12191.25,11,1450,8292
2001,"VU","Vanuatu","VU","Vanuatu","FFA","BZ",90,101.781,4.125,27.202
2001,"VU","Vanuatu","VU","Vanuatu","FFA","FJ",585.749,473.568828,40.857461,152.379082
2001,"VU","Vanuatu","VU","Vanuatu","FFA","TW",1358,945.154,27.248,131.041
2001,"VU","Vanuatu","VU","Vanuatu","FFA","VU",195.648,179.654631,7.355321,17.207958
2001,"WS","Samoa","WS","Samoa","FFA","WS",8015.025,4820,185,470
2002,"AS","American Samoa","AS","American Samoa","US Zones","US",6800.053,5351.341891,181.969291,459.100365
2002,"AU","Australia","AU","Australia","FFA","AU",14235.11,540.369419,989.301443,3511.358177
2002,"CK","Cook Islands","CK","Cook Islands","FFA","CK",824,489.530845,56,41.897095
2002,"CK","Cook Islands","CK","Cook Islands","FFA","TW",14,11.078,0.265,0.232
2002,"CK","Cook Islands","CK","Cook Islands","FFA","US",546.54,599.286945,13.96774,25.731054
2002,"CK","Cook Islands","CK","Cook Islands","FFA","WS",33.781,18.475625,0,0.548869
2002,"CN","China","CN","Other","Other","JP",12.636,2.152985,1.089987,3.520004
2002,"FJ","Fiji","FJ","Fiji","FFA","CN",142.632,77.497,10.306,31.237
2002,"FJ","Fiji","FJ","Fiji","FFA","FJ",11194.117,6289.44833,597.127373,1508.06248
2002,"FJ","Fiji","FJ","Fiji","FFA","TW",695,378.252,55.057,89.324
2002,"FJ","Fiji","FJ","Fiji","FFA","VU",589.091,320.433608,58.970035,127.124609
2002,"FM","FSM","FM","FSM","FFA","BZ",100,0,32.605,15.523
