"Year","EEZ","EZnm","Days","ALBc","BETc","YFTc"
2004,"TV","Tuvalu",1066.589,242.715044,235.329407,476.875442
2004,"TW","Taiwan",3982.5,463.5,617.5,3698
2004,"VN","Vietnam",17397.5,15,2781,11122
2004,"VU","Vanuatu",6648.126,4080.349364,245.988121,947.80155
2004,"WS","Samoa",3794.819,1233,104,444
2005,"AS","American Samoa",10820.496,2880.869524,131.554938,519.936598
2005,"AU","Australia",9480,719.436907,751.434465,1430.388447
2005,"CK","Cook Islands",3541.9,2290.095177,211.385123,395.186546
2005,"CN","China",7.346,0.685012,2.843012,0.640026
2005,"FJ","Fiji",9617.901,6036.335939,324.862111,1368.785508
2005,"FM","FSM",11094.771,94.430996,2885.530297,3308.483785
2005,"GL","Gilbert Islands",1621.393,21.869544,509.699198,346.880617
2005,"H4","HS pocket H4",473.645,48.283102,154.526075,89.582439
2005,"H5","HS pocket H5",546.529,95.856074,148.486395,84.927241
2005,"HW","Hawaii",6073.366,96.007823,1897.936241,342.854103
2005,"I1","HS1",12458.303,6.858377,2481.2309,3304.67391
2005,"I2","HS2",3058.334,1047.407842,751.303464,1404.347328
2005,"I3","HS3",9687.105,2170.826483,2088.180959,2562.668586
2005,"I4","HS4",53861.56,2105.822721,17737.738175,10901.000609
2005,"I5","HS5",55648.496,2361.952687,17317.900687,10063.183616
2005,"I6","HS6",51364.164,24610.222025,15113.154463,4345.814496
2005,"I7","HS7",16812.064,18302.199051,1115.897879,783.106064
2005,"I8","HS8",2419.592,1303.179029,45.103892,238.549273
2005,"I9","HS9",243.537,131.964381,10.70942,14.818481
2005,"ID","Indonesia",24878.25,2.415,3447.211068,16029.854978
2005,"JP","Japan",6192.593,302.966068,1618.49002,1634.979009
2005,"JT","Johnston",166.229,30.730907,38.277267,16.25679
2005,"LN","Line Islands",2993.422,126.694229,1262.287166,606.260619
2005,"MA","Mathew Hunter",12.064,10.251269,0.303845,1.997396
2005,"MH","Marshall Islands",5560.773,32.841031,1329.503362,733.520318
2005,"NC","New Caledonia",2857.589,1586.199614,75.6625,447.422425
2005,"NF","Forfolk Island",494,6.355325,16.229872,36.079086
2005,"NU","Niue",222.456,55,10,34
2005,"NZ","New Zealand",4279.677,601.759025,174.805255,33.088608
2005,"PF","French Polynesia",8740.74,2241.460099,563.687098,750.144139
2005,"PG","PNG",5392.581,2256,237,1222
2005,"PH","Philippines",2261.083,1.399992,341.091037,2093.810008
2005,"PW","Palau",7883.875,22.441974,1427.583022,1303.842782
2005,"PX","Phoenix Islands",2646.818,91.775087,942.024662,567.161523
2005,"PY","Palmyra",43.239,0.019912,15.703117,3.816678
2005,"SB","Solomon Islands",5066.704,2749.478345,545.134995,1563.849318
2005,"TO","Tonga",1901.179,257.720066,122.610664,215.452656
2005,"TV","Tuvalu",1506.277,301.284466,356.177749,478.29753
2005,"TW","Taiwan",4134.167,241,700,4020
2005,"VN","Vietnam",18047.5,16,3527,10895
2005,"VU","Vanuatu",9901.892,6707.196177,282.885215,1552.550305
2005,"WF","Wallis Futuna",55.985,41.39952,2.590971,20.9162
2005,"WS","Samoa",2746.94,1263,64,199
2006,"AS","American Samoa",5965,4078,181,513
2006,"AU","Australia",7959.646,2568.133985,481.728417,1796.028063
2006,"CK","Cook Islands",3199,1993.118687,150.652036,211.208698
2006,"CN","China",17.362,0.058067,9.343968,0
2006,"FJ","Fiji",9987.175,5802.148748,459.798723,1220.442413
2006,"FM","FSM",13269.309,142.632006,3580.281052,2887.445806
2006,"GL","Gilbert Islands",2540.325,28.200989,953.744872,659.971225
2006,"H4","HS pocket H4",365.148,17.362002,130.279122,88.5821
2006,"H5","HS pocket H5",822.513,172.40243,457.721332,169.795267
2006,"HW","Hawaii",6005.282,60.367165,1863.767999,340.260765
2006,"I1","HS1",17380.803,20.504074,2934.790731,4626.70253
2006,"I2","HS2",1874.825,1263.910461,521.940288,919.01697
2006,"I3","HS3",10973.073,2144.57931,1925.301964,2727.105585
2006,"I4","HS4",42951.354,453.016081,15240.788052,6964.14563
2006,"I5","HS5",48861.924,847.495027,18621.600816,7982.017897
2006,"I6","HS6",54549.39,24128.675149,13933.482797,3824.265059
2006,"I7","HS7",10955.14,14540.210832,461.784758,674.674089
2006,"I8","HS8",2118.675,1386.316767,50.655454,209.454631
2006,"I9","HS9",350.794,425.918639,6.368527,18.099896
2006,"ID","Indonesia",27583.75,0.800993,4800.208057,16827.933044
2006,"JP","Japan",7473.944,364.808061,2588.428041,1671.204984
2006,"JT","Johnston",580.757,76.780214,171.151607,71.165375
2006,"LN","Line Islands",4131.218,226.418005,2028.38381,1208.663626
2006,"MA","Mathew Hunter",13.381,3.990171,0.065401,3.039161
2006,"MH","Marshall Islands",6680.789,50.313984,1576.159329,1262.411329
2006,"NC","New Caledonia",2209.052,1356.039537,34.934599,411.108872
2006,"NF","Forfolk Island",80.079,1.073037,1.683197,3.159898
2006,"NU","Niue",376.333,259.224583,26.308536,49.569328
2006,"NZ","New Zealand",4047.103,495.746053,176.865381,2.966793
2006,"PF","French Polynesia",8295.67,2847.913025,476.188232,665.947904
2006,"PG","PNG",4665.025,1894.941009,236.954964,2215.243005
2006,"PH","Philippines",1954.083,0.335035,231.16005,1838.659969
2006,"PW","Palau",11147.622,38.635029,2979.146026,1571.334032
2006,"PX","Phoenix Islands",1693.493,47.563009,602.547566,411.726555
2006,"PY","Palmyra",309.582,0.019786,89.267168,137.217672
2006,"SB","Solomon Islands",10077.384,6539.820521,1189.966768,4143.309532
2006,"TO","Tonga",1898.201,410.928923,115.138186,226.114398
2006,"TV","Tuvalu",139.083,7.974259,35.409185,29.996604
2006,"TW","Taiwan",3368.75,234.5,424,3384
2006,"VN","Vietnam",18105,16,3538,10930
2006,"VU","Vanuatu",11119.746,8348.935448,374.526653,1882.728346
2006,"WK","Wake Island",3.788,1.773971,0.640015,0.12899
2006,"WS","Samoa",4393.391,2113,128,264
2007,"AS","American Samoa",5349.722,4677.016,145.621316,492.24672
2007,"AU","Australia",7456.665,1914.562419,998.790287,1380.426222
2007,"CK","Cook Islands",2949.344,2992.164932,226.652533,256.377835
2007,"CN","China",22.481,5.445934,0.930027,0.854012
2007,"FJ","Fiji",10292.673,4219.908649,328.864355,1009.57232
2007,"FM","FSM",13391.864,44.991964,3514.408444,2037.405434
2007,"GL","Gilbert Islands",3261.473,31.44,1266.469,1118.255
2007,"H4","HS pocket H4",693.879,127.954672,256.685408,309.528413
2007,"H5","HS pocket H5",1624.495,344.654042,1300.267906,582.468502
2007,"HW","Hawaii",5348.917,59.856044,1713.486359,233.686905
2007,"I1","HS1",16353.88,0.895455,2064.511417,3290.798997
2007,"I2","HS2",2285.431,2381.591353,625.464282,1775.654647
2007,"I3","HS3",10998.306,1761.111622,1412.073666,2223.368969
2007,"I4","HS4",31790.775,627.651323,13066.644031,4341.201244
2007,"I5","HS5",37462.59,820.646267,16059.031745,4947.131742
2007,"I6","HS6",54901.914,26610.783792,13741.052069,3717.479744
2007,"I7","HS7",10158.525,10476.520283,328.690228,361.521525
2007,"I8","HS8",1986.435,827.879973,28.780882,133.662411
2007,"I9","HS9",920.057,1136.597102,25.742845,39.573216
2007,"ID","Indonesia",30893.25,0.923976,4249.853009,19310.290955
2007,"JP","Japan",6369.611,319.532929,2086.965026,1583.567012
2007,"JT","Johnston",504.12,44.612591,171.183601,44.285054
2007,"LN","Line Islands",3426.115,480.197501,1881.890567,583.462985
2007,"MA","Mathew Hunter",13.05,6.338407,0.191584,2.022312
2007,"MH","Marshall Islands",10171.553,8.459013,2688.460144,996.249952
2007,"NC","New Caledonia",2640.783,1318.852235,52.7642,392.245424
2007,"NF","Forfolk Island",33.968,0.436744,0.857858,0.934414
2007,"NU","Niue",391.414,216,35,43
2007,"NZ","New Zealand",3019.698,276.495065,206.593401,13.562351
2007,"PF","French Polynesia",7998.224,3924.044996,471.808213,523.35589
2007,"PG","PNG",4390.768,1966.554984,136.459031,1891.397005
2007,"PH","Philippines",2005.417,0,296.68,1837.32
2007,"PW","Palau",9823.115,26.043966,1650.762072,1674.629952
2007,"PX","Phoenix Islands",3971.893,167.239811,1886.873173,1635.598981
2007,"PY","Palmyra",564.079,1.684303,362.913366,61.964471
2007,"SB","Solomon Islands",11954.786,4904.158032,1291.179545,5761.049102
2007,"TO","Tonga",1759.396,354.650088,127.744938,338.151784
2007,"TV","Tuvalu",1901.717,462.072367,592.991996,837.028404
2007,"TW","Taiwan",3502.083,225.5,594,3383
2007,"VN","Vietnam",18667.5,16,3648,11270
2007,"VU","Vanuatu",9331.593,5071.868804,278.803453,1331.906138
2007,"WS","Samoa",6549.345,3113,101,305
2008,"AS","American Samoa",4336,2878.16463,77.991261,282.699604
2008,"AU","Australia",7174.643,1272.411088,1022.378582,1647.014606
2008,"CK","Cook Islands",2626,2465.476721,277.60522,162.711006
2008,"CN","China",1.759,0.182067,0,0.189012
2008,"FJ","Fiji",7757.082,4898.285184,380.321596,1290.659521
2008,"FM","FSM",11566.705,111.20067,3010.511268,1570.316341
2008,"GL","Gilbert Islands",1940.855,21.27,850.731,622.74
2008,"H4","HS pocket H4",324.74,23.427025,149.469011,65.533913
2008,"H5","HS pocket H5",1228.827,206.444774,674.241598,204.758901
2008,"HW","Hawaii",5210.773,53.854569,1520.98976,360.170494
2008,"I1","HS1",16602.665,1.362638,3360.826078,3495.97968
2008,"I2","HS2",1649.418,1992.001788,439.955609,741.423558
2008,"I3","HS3",10695.329,2627.431812,1691.65675,2497.639281
2008,"I4","HS4",41358.029,711.510804,15762.976269,4951.113359
2008,"I5","HS5",43748.271,763.854612,16370.091907,4878.872679
2008,"I6","HS6",55988.634,21362.218153,10762.554639,4941.5319
2008,"I7","HS7",9402.578,18774.900519,777.955939,259.01413
2008,"I8","HS8",1884.01,1190.123159,37.70917,276.294731
2008,"I9","HS9",196.871,133.946952,9.430704,8.807945
2008,"ID","Indonesia",33462.5,3.184984,5627.841963,20853.041981
2008,"JP","Japan",4911.884,225.550979,2524.252019,910.815992
2008,"JT","Johnston",442.083,81.249545,151.896359,37.035937
2008,"LN","Line Islands",5693.274,140.333196,2910.021258,845.536792
2008,"MA","Mathew Hunter",4.174,2.078506,0.086787,1.87033
2008,"MH","Marshall Islands",7516.282,42.598975,2194.513884,585.709886
2008,"NC","New Caledonia",2827.429,1495.871834,62.521862,423.338009
2008,"NU","Niue",2746.716,337,51,40
2008,"NZ","New Zealand",3133.242,381.506273,133,11
2008,"PF","French Polynesia",7995.247,3060.116989,485.596091,442.544353
2008,"PG","PNG",3190.84,534.301076,141.798589,2624.817551
2008,"PH","Philippines",2130.75,0,207.145,2064.055
2008,"PW","Palau",8863.634,68.196026,2751.952423,874.550553
2008,"PX","Phoenix Islands",3034.444,200.29216,1693.197414,746.683209
2008,"PY","Palmyra",202.38,0.04923,78.936859,36.161406
2008,"SB","Solomon Islands",12802.131,6678.482542,1546.527276,7551.073589
2008,"TK","Tokelau",125,97.230173,17.72312,16.490658
2008,"TO","Tonga",1273.913,220,81,291
2008,"TV","Tuvalu",773.277,163.459209,203.047478,337.529568
2008,"TW","Taiwan",3826.25,289.5,359,3943
2008,"VN","Vietnam",17185,15,3358,10375
2008,"VU","Vanuatu",8717.208,5399.488106,290.63153,1947.272429
2008,"WS","Samoa",4494.134,2342,106,317
2009,"AS","American Samoa",4475,3190.164759,167.413223,320.585649
2009,"AU","Australia",7676.22,1517.185156,722.880022,1385.288927
2009,"CK","Cook Islands",4928.011,4632.832944,481.877519,481.711148
2009,"CN","China",6.299,0.128008,0,0.350994
2009,"FJ","Fiji",9018.184,6038.620953,366.446442,1555.490363
2009,"FM","FSM",11710.704,57.415962,2741.172836,1414.747668
2009,"GL","Gilbert Islands",3402,128.007852,1919.964731,958.65563
2009,"H4","HS pocket H4",379.127,75.860094,158.96122,153.031188
2009,"H5","HS pocket H5",1193.822,85.528887,796.137751,284.992045
2009,"HW","Hawaii",4612.659,49.993429,1190.747955,149.840914
2009,"I1","HS1",16257.33,1.155254,2421.369425,4924.451166
2009,"I2","HS2",3075.728,2848.886047,1391.839046,2820.688624
2009,"I3","HS3",11122.294,2800.446736,1393.568569,3090.880706
2009,"I4","HS4",33749.933,513.368522,14327.490945,6609.526882
2009,"I5","HS5",36730.604,888.579614,14640.768659,6372.500552
